deutsch;englisch;franz”sisch;italienisch
Baum;tree;arbre;albero
Haus ;house ;maison;casa
Geld;money;argent;i soldi
Apfel;apple;pomme;mela
Luftfahrtingenieur;aeronautical engineer;;
Flugzeug;aircraft;;
Legierung;allory;;
Winkel;angle;;
gegen den Uhrzeigersinn;anticlockwise;;
Fließbandfertigung;assembly line production;;
Monatgewerk;assembly plant;;
Durschnitt;average;;
Vorderachse;axle;;
Serienfertigung;batch production;;
weiße Karosserie ;body in white;;
Karosseriewerkstatt;body shop;;
Zweig;branch;;
Gewinnschwelle;break even point;;
Analysis/Differential/Integralrechnung;calculus;;
Gusseisen;cast iron;;
kreisumfang;circumference;;
Bauingenieurwesen;civil engineering ;;
Stütze;column;;
Fertigungsbetrieb ;company premises/site;;
komplexe Analyse;complex analysis;;
komplexe Zahl;complex number;;
Beton;concrete;;
konstant;constant;;
cabrio;convertible ;;
Förderband;conveyor belt;;
Kosinus;cosine;;
Rohstahl;crude steel;;
Kurve;curve;;
kundenspezifische Fertigung ;customized manufacturing;;
Dezimalkomma;decimal point;;
ableiten;deduce;;
Grad;degree;;
Division;deivision;;
Ableitung;derivative;;
Durchmesser;diameter;;
Ingenieurwesen;engineering;;
entspricht/ergeben;equal;;
Gleichung;equation;;
etwas ausüben;exert sth;;
Fließfertigung;flow production;;
Kraft/Belastung;force;;
Schmiede;forge;;
Formel;formula;;
Burch(zahl);fraction;;
Bezugssystem;framework;;
sparsamer Spritverbrauch;fuel efficient;;
größter gemeinsamer Nenner;greatest common denominator;;
Austauschbare Teile;interchangable part;;
Verbrennungsmotor;Internal combustion machine;;
Inventar/Einrichtung;inventory;;
in festgelegter Reihenfolge;just in sequence;;
Kalkstein;linestone;;
flüssige und pulverförmige Inhaltsstoffe ;liquid and powered ingrediens;;
kleinster gemeinsamer Nenner;lowest common denominator ;;
auf Lager gefertigt ;made to stock ;;
Fehlergrenze ;margin of error ;;
Mittelwert;mean;;
Tachostand;mileage;;
(kraft) Moment;moment;;
Wahrscheinlichkeit;odds;;
ausgelagerte Produktion;outsourced production ;;
Betrieb für Verpackung und Vertieb ;packaging and distribution ;;
Lackierei ;paint shop;;
Roheisen;pig iron;;
hoch;power: to the - of ;;
Wahrscheinlichkeit;probability;;
Betriebs/Werksgelände;production facility/plan;;
Qualitätssicherung ;quality assurance;;
Streuungs- Toleranzgrenze;range;;
schnelle Hertsellung von Musterbauteilen;rapid prototyping;;
Quotient;ratio;;
unbearbeitetes Werkstück;raw/unprocessed workpiece;;
Rechteck;rectangle;;
Residuum/ Restwert;residual;;
Kapitalrendite;return of investment;;
Altmetall;scrap metal;;
Kreisausschnitt;sector of circle;;
Lichtbogenofen;selectric arc furnance;;
Stahlblech;sheet steel;;
Sinus;sine;;
Schlacke;slag;;
Richtungskoeffizient;slope;;
Wurzel;square root;;
Restfreier Stahl;stainless steel;;
Warenlager/ Warenfläche;stock/stock area;;
Bauingenieur ;structural engineer;;
subtraktion;subtraction;;
Federung/ Aufhängung;suspension;;
Tangente;tangent;;
gehärteter Stahl;temperated steel;;
einen Ofen aufheizen;tho charge a furnance;;
verschmelzen;to smelt;;
mautpflichtige Brücke;toll bridge;;
Dreieck;traingle;;
Getriebe;transmission;;
Variable/ Größe ;variable;;
Geschwindigkeit ;velocity;;
Schmiedeeisen;wraught iron;;
